ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name,1073742125::Definition,1075848986::Value  [read only],1075849083::Default,1075849148::Comments,1075850193::Dependent Objects  [read only],1075850212::Constraint Name,1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only]
1075839170::837,DF_ManufacturerVehicleStock_PartsCharge_Price,Default Constraint Usage,DF_ManufacturerVehicleStock_PartsCharge_Price,DF_ManufacturerVehicleStock_PartsCharge_Price,,0,DF_Template_Price,,,DF_ManufacturerVehicleStock_PartsCharge_Price,DF_ManufacturerVehicleStock_PartsCharge_Price,
1075839170::838,DF_ManufacturerVehicleStock_DeliveryCharge_Price,Default Constraint Usage,DF_ManufacturerVehicleStock_DeliveryCharge_Price,DF_ManufacturerVehicleStock_DeliveryCharge_Price,,0,DF_Template_Price,,,DF_ManufacturerVehicleStock_DeliveryCharge_Price,DF_ManufacturerVehicleStock_DeliveryCharge_Price,
1075839170::841,DF_sdFlagBit_FlagFalse,Default Constraint Usage,DF_sdFlagBit_FlagFalse,DF_sdFlagBit_FlagFalse,,0,DF_Template_FlagFalse,,,DF_sdFlagBit_FlagFalse,DF_sdFlagBit_FlagFalse,
1075839170::843,DF_FlagFalse_FlagFalse,Default Constraint Usage,DF_FlagFalse_FlagFalse,DF_FlagFalse_FlagFalse,,0,DF_Template_FlagFalse,,"DF_ManufacturerVehicleStock_IsPremiumRoadHandlingPackage_FlagFalse,DF_Customer_IsCustomerReseller_FlagFalse,DF_Customer_IsCustomerCreditRisk_FlagFalse",DF_FlagFalse_FlagFalse,DF_FlagFalse_FlagFalse,
1075839170::844,DF_ManufacturerVehicleStock_IsPremiumRoadHandlingPackage_FlagFalse,Default Constraint Usage,DF_ManufacturerVehicleStock_IsPremiumRoadHandlingPackage_FlagFalse,DF_ManufacturerVehicleStock_IsPremiumRoadHandlingPackage_FlagFalse,,0,DF_Template_FlagFalse,,,DF_ManufacturerVehicleStock_IsPremiumRoadHandlingPackage_FlagFalse,DF_ManufacturerVehicleStock_IsPremiumRoadHandlingPackage_FlagFalse,
1075839170::845,DF_ManufacturerVehicleStock_PurchaseDate_Date,Default Constraint Usage,DF_ManufacturerVehicleStock_PurchaseDate_Date,DF_ManufacturerVehicleStock_PurchaseDate_Date,,'19991231',DF_Template_Date,,,DF_ManufacturerVehicleStock_PurchaseDate_Date,DF_ManufacturerVehicleStock_PurchaseDate_Date,
1075839170::846,DF_SalesOrderVehicleDetail_LineItemNumber_SequenceStartingValue,Default Constraint Usage,DF_SalesOrderVehicleDetail_LineItemNumber_SequenceStartingValue,DF_SalesOrderVehicleDetail_LineItemNumber_SequenceStartingValue,,1,DF_Template_OrdinalNumber,,,DF_SalesOrderVehicleDetail_LineItemNumber_SequenceStartingValue,DF_SalesOrderVehicleDetail_LineItemNumber_SequenceStartingValue,
1075839170::847,DF_SalesOrderVehicleDetail_SalePrice_Price,Default Constraint Usage,DF_SalesOrderVehicleDetail_SalePrice_Price,DF_SalesOrderVehicleDetail_SalePrice_Price,,0,DF_Template_Price,,,DF_SalesOrderVehicleDetail_SalePrice_Price,DF_SalesOrderVehicleDetail_SalePrice_Price,
1075839170::848,DF_SalesOrderVehicleDetail_LineItemDiscount_Price,Default Constraint Usage,DF_SalesOrderVehicleDetail_LineItemDiscount_Price,DF_SalesOrderVehicleDetail_LineItemDiscount_Price,,0,DF_Template_Price,,,DF_SalesOrderVehicleDetail_LineItemDiscount_Price,DF_SalesOrderVehicleDetail_LineItemDiscount_Price,
1075839170::854,DF_SalesCategoryThreshold_LowerThreshold_Price,Default Constraint Usage,DF_SalesCategoryThreshold_LowerThreshold_Price,DF_SalesCategoryThreshold_LowerThreshold_Price,,0,DF_Template_Price,,,DF_SalesCategoryThreshold_LowerThreshold_Price,DF_SalesCategoryThreshold_LowerThreshold_Price,
1075839170::855,DF_SalesCategoryThreshold_UpperThreshold_Price,Default Constraint Usage,DF_SalesCategoryThreshold_UpperThreshold_Price,DF_SalesCategoryThreshold_UpperThreshold_Price,,0,DF_Template_Price,,,DF_SalesCategoryThreshold_UpperThreshold_Price,DF_SalesCategoryThreshold_UpperThreshold_Price,
1075839170::857,DF_SalesOrderVehicle_TotalSalePrice_Price,Default Constraint Usage,DF_SalesOrderVehicle_TotalSalePrice_Price,DF_SalesOrderVehicle_TotalSalePrice_Price,,0,DF_Template_Price,,,DF_SalesOrderVehicle_TotalSalePrice_Price,DF_SalesOrderVehicle_TotalSalePrice_Price,
1075839170::858,DF_SalesOrderVehicle_SaleDate_Date,Default Constraint Usage,DF_SalesOrderVehicle_SaleDate_Date,DF_SalesOrderVehicle_SaleDate_Date,,'19991231',DF_Template_Date,,,DF_SalesOrderVehicle_SaleDate_Date,DF_SalesOrderVehicle_SaleDate_Date,
1075839170::866,DF_AddressString_Unavailable,Default Constraint Usage,DF_AddressString_Unavailable,DF_AddressString_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_AddressString_Unknown,DF_AddressString_Unavailable,
1075839170::874,DF_PostalCodeString_Unavailable,Default Constraint Usage,DF_PostalCodeString_Unavailable,DF_PostalCodeString_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_Customer_CustomerPostalCode_Unavailable,DF_PostalCodeString_Unavailable,DF_PostalCodeString_Unavailable,
1075839170::875,DF_TownString_Unavailable,Default Constraint Usage,DF_TownString_Unavailable,DF_TownString_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_Customer_CustomerTownUnavailable,DF_TownString_Unavailable,DF_TownString_Unavailable,
1075839170::876,DF_AuditFlag_FlagNo,Default Constraint Usage,DF_AuditFlag_FlagNo,DF_AuditFlag_FlagNo,,'N',DF_Template_FlagNo,,"DF_SalesOrderVehicleDetail_IsDeleted_FlagNo,DF_ManufacturerVehicleStock_IsDeleted_FlagNo,DF_ManufacturerVehicleModel_IsDeleted_FlagNo,DF_SalesOrderVehicle_IsDeleted_FlagNo,DF_Country_IsDeleted_FlagNo,DF_Staff_IsDeleted_FlagNo,DF_Customer_IsDeleted_FlagNo,DF_Template_FlagNo",DF_AuditFlag_FlagNo,DF_AuditFlag_FlagNo,
1075839170::878,DF_SalesOrderVehicleDetail_IsDeleted_FlagNo,Default Constraint Usage,DF_SalesOrderVehicleDetail_IsDeleted_FlagNo,DF_SalesOrderVehicleDetail_IsDeleted_FlagNo,,'N',DF_Template_FlagNo,,,DF_SalesOrderVehicleDetail_IsDeleted_FlagNo,DF_SalesOrderVehicleDetail_IsDeleted_FlagNo,
1075839170::879,DF_ManufacturerVehicleStock_IsDeleted_FlagNo,Default Constraint Usage,DF_ManufacturerVehicleStock_IsDeleted_FlagNo,DF_ManufacturerVehicleStock_IsDeleted_FlagNo,,'N',DF_Template_FlagNo,,,DF_ManufacturerVehicleStock_IsDeleted_FlagNo,DF_ManufacturerVehicleStock_IsDeleted_FlagNo,
1075839170::881,DF_ManufacturerVehicleModel_IsDeleted_FlagNo,Default Constraint Usage,DF_ManufacturerVehicleModel_IsDeleted_FlagNo,DF_ManufacturerVehicleModel_IsDeleted_FlagNo,,'N',DF_Template_FlagNo,,,DF_ManufacturerVehicleModel_IsDeleted_FlagNo,DF_ManufacturerVehicleModel_IsDeleted_FlagNo,
1075839170::882,DF_SalesOrderVehicle_IsDeleted_FlagNo,Default Constraint Usage,DF_SalesOrderVehicle_IsDeleted_FlagNo,DF_SalesOrderVehicle_IsDeleted_FlagNo,,'N',DF_Template_FlagNo,,,DF_SalesOrderVehicle_IsDeleted_FlagNo,DF_SalesOrderVehicle_IsDeleted_FlagNo,
1075839170::884,DF_Country_IsDeleted_FlagNo,Default Constraint Usage,DF_Country_IsDeleted_FlagNo,DF_Country_IsDeleted_FlagNo,,'N',DF_Template_FlagNo,,,DF_Country_IsDeleted_FlagNo,DF_Country_IsDeleted_FlagNo,
1075839170::886,DF_Staff_IsDeleted_FlagNo,Default Constraint Usage,DF_Staff_IsDeleted_FlagNo,DF_Staff_IsDeleted_FlagNo,,'N',DF_Template_FlagNo,,,DF_Staff_IsDeleted_FlagNo,DF_Staff_IsDeleted_FlagNo,
1075839170::887,DF_Customer_IsDeleted_FlagNo,Default Constraint Usage,DF_Customer_IsDeleted_FlagNo,DF_Customer_IsDeleted_FlagNo,,'N',DF_Template_FlagNo,,,DF_Customer_IsDeleted_FlagNo,DF_Customer_IsDeleted_FlagNo,
1075839170::889,DF_Note,Default Constraint Usage,DF_Note,DF_Note,,'Row was inserted',DF_Template_Note,,"DF_SalesOrderVehicleDetail_Note_Note,DF_ManufacturerVehicleStock_Note_Note,DF_ManufacturerVehicleModel_Note_Note,DF_SalesOrderVehicle_Note_Unavailable,DF_Country_Note_Note,DF_Staff_Note_Note,DF_Customer_Note_Note,DF_ManufacturerVehicleMake_Note",DF_Note_Unavailable,DF_Note,
1075839170::891,DF_SalesOrderVehicleDetail_Note_Note,Default Constraint Usage,DF_SalesOrderVehicleDetail_Note_Note,DF_SalesOrderVehicleDetail_Note_Note,,'Row was inserted',DF_Template_Note,,,DF_SalesOrderVehicleDetail_Note_Unavailable,DF_SalesOrderVehicleDetail_Note_Note,
1075839170::892,DF_ManufacturerVehicleStock_Note_Note,Default Constraint Usage,DF_ManufacturerVehicleStock_Note_Note,DF_ManufacturerVehicleStock_Note_Note,,'Row was inserted',DF_Template_Note,,,DF_ManufacturerVehicleStock_Note_Unavailable,DF_ManufacturerVehicleStock_Note_Note,
1075839170::894,DF_ManufacturerVehicleModel_Note_Note,Default Constraint Usage,DF_ManufacturerVehicleModel_Note_Note,DF_ManufacturerVehicleModel_Note_Note,,'Row was inserted',DF_Template_Note,,,DF_ManufacturerVehicleModel_Note_Unavailable,DF_ManufacturerVehicleModel_Note_Note,
1075839170::895,DF_SalesOrderVehicle_Note_Unavailable,Default Constraint Usage,DF_SalesOrderVehicle_Note_Unavailable,DF_SalesOrderVehicle_Note_Unavailable,,'Row was inserted',DF_Template_Note,,,DF_SalesOrderVehicle_Note_Unavailable,DF_SalesOrderVehicle_Note_Unavailable,
1075839170::897,DF_Country_Note_Note,Default Constraint Usage,DF_Country_Note_Note,DF_Country_Note_Note,,'Row was inserted',DF_Template_Note,,,DF_Country_Note_Unavailable,DF_Country_Note_Note,
1075839170::899,DF_Staff_Note_Note,Default Constraint Usage,DF_Staff_Note_Note,DF_Staff_Note_Note,,'Row was inserted',DF_Template_Note,,,DF_Staff_Note_Unavailable,DF_Staff_Note_Note,
1075839170::900,DF_Customer_Note_Note,Default Constraint Usage,DF_Customer_Note_Note,DF_Customer_Note_Note,,'Row was inserted',DF_Template_Note,,,DF_Customer_Note_Unavailable,DF_Customer_Note_Note,
1075839170::904,DF_CustomerSpendCapacity_Unavailable,Default Constraint Usage,DF_CustomerSpendCapacity_Unavailable,DF_CustomerSpendCapacity_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_CustomerExpenditureClassification_CustomerExpenditureClassifier,DF_MarketingDescriptor_Unavailable,DF_CustomerSpendCapacity_Unavailable,
1075839170::905,DF_CustomerName_Unavailable,Default Constraint Usage,DF_CustomerName_Unavailable,DF_CustomerName_Unavailable,,'Unavailable',DF_Template_Unavailable,,DF_Customer_CustomerName_Unavailable,DF_PersonName_Unavailable,DF_CustomerName_Unavailable,
1075839170::909,DF_InvoiceNumber_InvoiceNumber,Default Constraint Usage,DF_InvoiceNumber_InvoiceNumber,DF_InvoiceNumber_InvoiceNumber,,'00000000',DF_Template_InvoiceNumber,,DF_SalesOrderVehicle_InvoiceNumber_InvoiceNumber,DF_InvoiceNumber_InvoiceNumber,DF_InvoiceNumber_InvoiceNumber,
1075839170::910,DF_SalesOrderVehicle_InvoiceNumber_InvoiceNumber,Default Constraint Usage,DF_SalesOrderVehicle_InvoiceNumber_InvoiceNumber,DF_SalesOrderVehicle_InvoiceNumber_InvoiceNumber,,'00000000',DF_Template_InvoiceNumber,,,DF_SalesOrderVehicle_InvoiceNumber_InvoiceNumber,DF_SalesOrderVehicle_InvoiceNumber_InvoiceNumber,
1075839170::912,DF_VehicleColor_Unavailable,Default Constraint Usage,DF_VehicleColor_Unavailable,DF_VehicleColor_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_VehicleColor_Unknown,DF_VehicleColor_Unavailable,
1075839170::914,DF_VehicleIdentifier_Unavailable,Default Constraint Usage,DF_VehicleIdentifier_Unavailable,DF_VehicleIdentifier_Unavailable,,'Unavailable',DF_Template_Unavailable,,"DF_ManufacturerVehicleModel_ManufacturerModelName_Unknown,DF_ManufacturerVehicleModel_ManufacturerModelVariant_Unknown,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeName_Unknown",DF_VehicleNomenclature_Unknown,DF_VehicleIdentifier_Unavailable,
1075839170::915,DF_ManufacturerVehicleModel_ManufacturerModelName_Unknown,Default Constraint Usage,DF_ManufacturerVehicleModel_ManufacturerModelName_Unknown,DF_ManufacturerVehicleModel_ManufacturerModelName_Unknown,,'Unavailable',DF_Template_Unavailable,,,DF_ManufacturerVehicleModel_ManufacturerModelName_Unknown,DF_ManufacturerVehicleModel_ManufacturerModelName_Unknown,
1075839170::916,DF_ManufacturerVehicleModel_ManufacturerModelVariant_Unknown,Default Constraint Usage,DF_ManufacturerVehicleModel_ManufacturerModelVariant_Unknown,DF_ManufacturerVehicleModel_ManufacturerModelVariant_Unknown,,'Unavailable',DF_Template_Unavailable,,,DF_ManufacturerVehicleModel_ManufacturerModelVariant_Unknown,DF_ManufacturerVehicleModel_ManufacturerModelVariant_Unknown,
1075839170::917,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeName_Unknown,Default Constraint Usage,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeName_Unknown,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeName_Unknown,,'Unavailable',DF_Template_Unavailable,,,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeName_Unknown,DF_ManufacturerVehicleMake_ManufacturerVehicleMakeName_Unknown,
1075839170::918,DF_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_TransactionNumber_OrdinalNumber,DF_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,"DF_SalesOrderVehicleDetail_TransactionNumber_OrdinalNumber,DF_ManufacturerVehicleStock_TransactionNumber_OrdinalNumber,DF_ManufacturerVehicleModel_TransactionNumber_OrdinalNumber,DF_SalesOrderVehicle_TransactionNumber_OrdinalNumber,DF_Country_TransactionNumber_OrdinalNumber,DF_Staff_TransactionNumber_OrdinalNumber,DF_Customer_TransactionNumber_OrdinalNumber,DF_ManufacturerVehicleMake_TransactionNumber",DF_TransactionNumber_OrdinalNumber,DF_TransactionNumber_OrdinalNumber,
1075839170::920,DF_SalesOrderVehicleDetail_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_SalesOrderVehicleDetail_TransactionNumber_OrdinalNumber,DF_SalesOrderVehicleDetail_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_SalesOrderVehicleDetail_TransactionNumber_OrdinalNumber,DF_SalesOrderVehicleDetail_TransactionNumber_OrdinalNumber,
1075839170::921,DF_ManufacturerVehicleStock_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_ManufacturerVehicleStock_TransactionNumber_OrdinalNumber,DF_ManufacturerVehicleStock_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_ManufacturerVehicleStock_TransactionNumber_OrdinalNumber,DF_ManufacturerVehicleStock_TransactionNumber_OrdinalNumber,
1075839170::923,DF_ManufacturerVehicleModel_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_ManufacturerVehicleModel_TransactionNumber_OrdinalNumber,DF_ManufacturerVehicleModel_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_ManufacturerVehicleModel_TransactionNumber_OrdinalNumber,DF_ManufacturerVehicleModel_TransactionNumber_OrdinalNumber,
1075839170::924,DF_SalesOrderVehicle_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_SalesOrderVehicle_TransactionNumber_OrdinalNumber,DF_SalesOrderVehicle_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_SalesOrderVehicle_TransactionNumber_OrdinalNumber,DF_SalesOrderVehicle_TransactionNumber_OrdinalNumber,
1075839170::926,DF_Country_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_Country_TransactionNumber_OrdinalNumber,DF_Country_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_Country_TransactionNumber_OrdinalNumber,DF_Country_TransactionNumber_OrdinalNumber,
1075839170::928,DF_Staff_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_Staff_TransactionNumber_OrdinalNumber,DF_Staff_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_Staff_TransactionNumber_OrdinalNumber,DF_Staff_TransactionNumber_OrdinalNumber,
1075839170::929,DF_Customer_TransactionNumber_OrdinalNumber,Default Constraint Usage,DF_Customer_TransactionNumber_OrdinalNumber,DF_Customer_TransactionNumber_OrdinalNumber,,1,DF_Template_OrdinalNumber,,,DF_Customer_TransactionNumber_OrdinalNumber,DF_Customer_TransactionNumber_OrdinalNumber,
1075839170::1078,DF_ManufacturerVehicleStock_VehicleColor_Unavailable,Default Constraint Usage,DF_ManufacturerVehicleStock_VehicleColor_Unavailable,DF_ManufacturerVehicleStock_VehicleColor_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_ManufacturerVehicleStock_VehicleColor_Unavailable,DF_ManufacturerVehicleStock_VehicleColor_Unavailable,
1075839170::1079,DF_Country_CountryName_Unavailable,Default Constraint Usage,DF_Country_CountryName_Unavailable,DF_Country_CountryName_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_Country_CountryName_Unavailable,DF_Country_CountryName_Unavailable,
1075839170::1080,DF_Country_CountryISO3_Unavailable,Default Constraint Usage,DF_Country_CountryISO3_Unavailable,DF_Country_CountryISO3_Unavailable,,'Unavailable',DF_Template_Unavailable,,,DF_Country_CountryISO3_Unavailable,DF_Country_CountryISO3_Unavailable,
